month,work_days,experienced_devs,intern_devs,experienced_marketers,intern_marketers,dev_efficiency,marketing_efficiency
Aug 2025,5,0.8,0.0,0.2,0.0,1.0,1.0
Sep 2025,20,1.8,2.0,0.2,2.0,1.0,1.0
Oct 2025,22,2.8,2.0,1.2,2.0,0.71,0.55
Nov 2025,19,3.8,2.0,1.2,2.0,0.71,0.68
Dec 2025,22,3.8,2.0,1.0,2.0,0.71,0.68
Jan 2026,20,3.8,2.0,1.0,2.0,0.76,0.76
Feb 2026,19,3.8,2.0,1.0,2.0,0.76,0.8
Mar 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
Apr 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
May 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
Jun 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
Jul 2026,23,3.8,2.0,1.0,2.0,0.76,0.8
Aug 2026,23,3.8,2.0,1.0,2.0,0.76,0.8
Sep 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
Oct 2026,23,3.8,2.0,1.0,2.0,0.76,0.8
Nov 2026,22,3.8,2.0,1.0,2.0,0.76,0.8
Dec 2026,23,3.8,2.0,1.0,2.0,0.76,0.8